up_date,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock
2020-01-27,3247.159912,3258.850098,3234.5,3243.629883,3823100000,0,0,S&P500
2020-01-27,28542.49023,28671.78906,28440.4707,28535.80078,337270000,0,0,Dow Jones
2020-01-27,9092.459961,9185.450195,9088.040039,9139.30957,2583330000,0,0,Nasdaq
2020-01-28,3255.350098,3285.780029,3253.219971,3276.23999,3526720000,0,0,S&P500
2020-01-28,28594.2793,28823.23047,28575.75,28722.84961,330140000,0,0,Dow Jones
2020-01-28,9201.820313,9288.870117,9182.330078,9269.679688,2157830000,0,0,Nasdaq
2020-01-29,3289.459961,3293.469971,3271.889893,3273.399902,3584500000,0,0,S&P500
2020-01-29,28820.5293,28944.24023,28728.18945,28734.44922,302290000,0,0,Dow Jones
2020-01-29,9318.259766,9329.120117,9249.040039,9275.160156,2223480000,0,0,Nasdaq
2020-01-30,3256.449951,3285.909912,3242.800049,3283.659912,3787250000,0,0,S&P500
2020-01-30,28640.16016,28879.71094,28489.75977,28859.43945,326850000,0,0,Dow Jones
2020-01-30,9211.150391,9303,9185.179688,9298.929688,2333500000,0,0,Nasdaq
2020-01-31,3282.330078,3282.330078,3214.679932,3225.52002,4527830000,0,0,S&P500
2020-01-31,28813.03906,28813.03906,28169.5293,28256.0293,403890000,0,0,Dow Jones
2020-01-31,9324.330078,9324.799805,9123.219727,9150.94043,2685840000,0,0,Nasdaq
2020-02-03,3235.659912,3268.439941,3235.659912,3248.919922,3757910000,0,0,S&P500
2020-02-03,28319.65039,28630.39063,28319.65039,28399.81055,307910000,0,0,Dow Jones
2020-02-03,9190.719727,9299.849609,9188.549805,9273.400391,2420510000,0,0,Nasdaq
2020-02-04,3280.610107,3306.919922,3280.610107,3297.590088,3995320000,0,0,S&P500
2020-02-04,28696.74023,28904.88086,28696.74023,28807.63086,332750000,0,0,Dow Jones
2020-02-04,9398.389648,9485.379883,9374.049805,9467.969727,2445420000,0,0,Nasdaq
2020-02-05,3324.909912,3337.580078,3313.75,3334.689941,4117730000,0,0,S&P500
